dataset,protocol_train,protocol_eval,model,ablation,seed,config_hash,git_commit,best_epoch,checkpoint,predictions,intervention_failures,cn_feature_mode,interaction_mode,metric_mrr,metric_hits10,metric_hits20,metric_hits50,metric_hits100,metric_mean_positive_rank,metric_auc,metric_ap,metric_macro_mrr,metric_worst_group_mrr,metric_group_gap,runtime_train_seconds,runtime_inference_seconds,runtime_peak_gpu_mb
cora,degree_corrected,heart,dcdlp,A14,5,f37d6c0980af,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed5_f37d6c0980af.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed5_f37d6c0980af_predictions.csv,{'NO_CANDIDATE': 302},legacy_unknown,legacy_unknown,0.6405875520592564,0.9601518026565465,1.0,1.0,1.0,3.1005692599620494,0.8959766535003545,0.49489645980925306,0.6330468103237126,0.2849563847318674,0.637977219604176,680.6213427999755,0.0,2812.27587890625
cora,degree_corrected,heart,dcdlp,A14,6,c786468ffb4b,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed6_c786468ffb4b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed6_c786468ffb4b_predictions.csv,{'NO_CANDIDATE': 303},legacy_unknown,legacy_unknown,0.6429503481350786,0.9506641366223909,0.9981024667931688,1.0,1.0,3.121442125237192,0.8943703214284431,0.46985269201662844,0.6420658823955301,0.30308347168472893,0.6282681543315313,590.3487692000344,0.0,2759.34765625
cora,degree_corrected,heart,dcdlp,A14,7,ca09ce73b5c2,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed7_ca09ce73b5c2.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed7_ca09ce73b5c2_predictions.csv,{'NO_CANDIDATE': 295},legacy_unknown,legacy_unknown,0.6625228072359302,0.9658444022770398,1.0,1.0,1.0,2.925996204933586,0.9060397005714204,0.5213190309667223,0.6569765597764339,0.3060418869629396,0.6421508841213976,659.4632033000235,0.0,2812.275390625
cora,degree_corrected,heart,dcdlp,A14,8,724aa841caf9,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed8_724aa841caf9.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed8_724aa841caf9_predictions.csv,{'NO_CANDIDATE': 284},legacy_unknown,legacy_unknown,0.617371938233054,0.9392789373814042,1.0,1.0,1.0,3.4250474383301706,0.8779376658541241,0.4796275319473254,0.6243232282542898,0.24992589076936397,0.6623231052145717,727.3375835000188,0.0,2778.515625
cora,degree_corrected,heart,dcdlp,A14,9,097db0949c83,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed9_097db0949c83.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed9_097db0949c83_predictions.csv,{'NO_CANDIDATE': 275},legacy_unknown,legacy_unknown,0.6998708330851544,0.967741935483871,0.9981024667931688,1.0,1.0,2.666034155597723,0.9182611466573531,0.5567454245835883,0.6999772330012546,0.3750610745933526,0.5811244924169567,632.9698801999912,0.0,2816.41845703125
cora,mix,heart,dcdlp,A14,0,b2291f723cce,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed0_b2291f723cce.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed0_b2291f723cce_predictions.csv,{'NO_CANDIDATE': 321},legacy_unknown,legacy_unknown,0.6839010053076618,0.9563567362428842,1.0,1.0,1.0,2.846299810246679,0.9084557248252794,0.545519800767919,0.6688239251857555,0.39290177754371025,0.5866483247057784,894.4722930999997,0.0,2769.611328125
cora,mix,heart,dcdlp,A14,1,bf73ae17657b,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed1_bf73ae17657b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed1_bf73ae17657b_predictions.csv,{'NO_CANDIDATE': 348},legacy_unknown,legacy_unknown,0.5841749974574362,0.8045540796963947,0.9943074003795066,1.0,1.0,4.981024667931689,0.800558098002009,0.4493396573331316,0.5771317545929682,0.15153773781973154,0.7700332217085449,608.3286673999974,0.0,2748.85791015625
cora,mix,heart,dcdlp,A14,2,b5f526389ec9,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed2_b5f526389ec9.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed2_b5f526389ec9_predictions.csv,{'NO_CANDIDATE': 324},legacy_unknown,legacy_unknown,0.6867556029094559,0.9601518026565465,0.9962049335863378,1.0,1.0,2.781783681214421,0.9109763474466116,0.5398152335336295,0.6772978436725968,0.4298222470859657,0.5232080559443373,607.1918928999803,0.0,2778.47216796875
cora,mix,heart,dcdlp,A14,3,9a8c05a4f7a8,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed3_9a8c05a4f7a8.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed3_9a8c05a4f7a8_predictions.csv,{'NO_CANDIDATE': 302},legacy_unknown,legacy_unknown,0.6589688620085133,0.9184060721062619,0.9962049335863378,1.0,1.0,3.349146110056926,0.8805506446932081,0.5127191294670507,0.647241982895012,0.3237887067543931,0.6327153582862574,611.048894699954,0.0,2773.76318359375
cora,mix,heart,dcdlp,A14,4,85f9fa945f46,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed4_85f9fa945f46.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed4_85f9fa945f46_predictions.csv,{'NO_CANDIDATE': 313},legacy_unknown,legacy_unknown,0.699835398103899,0.9620493358633776,0.9981024667931688,1.0,1.0,2.6944971537001896,0.9136878035783083,0.5349332635481443,0.6852134136478557,0.4674953490036134,0.4841406428164276,630.7860683999606,0.0,2734.92578125
cora,mix,heart,dcdlp,A14,5,ee4b009b99b1,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed5_ee4b009b99b1.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed5_ee4b009b99b1_predictions.csv,{'NO_CANDIDATE': 326},legacy_unknown,legacy_unknown,0.7162816705748395,0.969639468690702,1.0,1.0,1.0,2.571157495256167,0.9196257862880721,0.5727702530667763,0.7060921100252606,0.5032960745851371,0.45734078178342663,652.9564293000149,0.0,2772.24462890625
cora,mix,heart,dcdlp,A14,6,645c7864997a,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed6_645c7864997a.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed6_645c7864997a_predictions.csv,{'NO_CANDIDATE': 334},legacy_unknown,legacy_unknown,0.7073808595097095,0.9791271347248577,1.0,1.0,1.0,2.3719165085388996,0.9313759096097275,0.5448392299677876,0.708552545264323,0.4850773974920218,0.46512585454049843,661.3799287999864,0.0,2737.5185546875
cora,mix,heart,dcdlp,A14,7,e74ef9f9ef99,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed7_e74ef9f9ef99.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed7_e74ef9f9ef99_predictions.csv,{'NO_CANDIDATE': 328},legacy_unknown,legacy_unknown,0.7001392767047416,0.967741935483871,1.0,1.0,1.0,2.5009487666034156,0.9257832275347551,0.5594089247419752,0.6933327048397931,0.4310926039772194,0.529248761484628,647.7276535000419,0.0,2816.4501953125
cora,mix,heart,dcdlp,A14,8,2fd298779998,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed8_2fd298779998.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed8_2fd298779998_predictions.csv,{'NO_CANDIDATE': 305},legacy_unknown,legacy_unknown,0.6995074633357367,0.9639468690702088,1.0,1.0,1.0,2.537001897533207,0.9229120833618383,0.5440313992596586,0.7066753717909394,0.4652767989977293,0.4830163736930337,714.8408575999783,0.0,2756.09814453125
cora,mix,heart,dcdlp,A14,9,7d54331ecb50,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_mix_seed9_7d54331ecb50.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_mix_seed9_7d54331ecb50_predictions.csv,{'NO_CANDIDATE': 298},legacy_unknown,legacy_unknown,0.7279093479936061,0.9753320683111955,1.0,1.0,1.0,2.364326375711575,0.9307290560222374,0.5764741962065748,0.724214000603764,0.5206438821024305,0.43140915468114516,577.0842969999649,0.0,2814.32666015625
cora,uniform,heart,dcdlp,A14,0,23a632f463c1,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed0_23a632f463c1.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed0_23a632f463c1_predictions.csv,{'NO_CANDIDATE': 328},legacy_unknown,legacy_unknown,0.7186907028616483,0.9582542694497154,0.9981024667931688,1.0,1.0,2.6072106261859584,0.9195190275412364,0.5885124579701705,0.6989283517309984,0.337208593934727,0.6597239214026963,601.3503157999949,0.0,2750.619140625
cora,uniform,heart,dcdlp,A14,1,11681571da65,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed1_11681571da65.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed1_11681571da65_predictions.csv,{'NO_CANDIDATE': 377},legacy_unknown,legacy_unknown,0.6676155021067663,0.9184060721062619,0.9981024667931688,1.0,1.0,3.3529411764705883,0.8828975368074634,0.5389901761761189,0.649315479557513,0.25874470177144415,0.7087349730253037,662.1970960999897,0.0,2731.24365234375
cora,uniform,heart,dcdlp,A14,2,7b0f33f8e14d,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed2_7b0f33f8e14d.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed2_7b0f33f8e14d_predictions.csv,{'NO_CANDIDATE': 322},legacy_unknown,legacy_unknown,0.7006783404302659,0.952561669829222,1.0,1.0,1.0,2.7855787476280836,0.9125921311782349,0.5685878048981832,0.687992039636857,0.3734477278421235,0.5932189388245432,545.1902185000363,0.0,2798.20263671875
cora,uniform,heart,dcdlp,A14,3,38425fa0399e,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed3_38425fa0399e.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed3_38425fa0399e_predictions.csv,{'NO_CANDIDATE': 343},legacy_unknown,legacy_unknown,0.6400385078133416,0.9032258064516129,0.9943074003795066,1.0,1.0,3.8349146110056926,0.8606479697834939,0.5013026748662183,0.621843441473761,0.19064784776490512,0.7671773554871275,626.076169500011,0.0,2756.69140625
cora,uniform,heart,dcdlp,A14,4,338ee7f35b81,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed4_338ee7f35b81.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed4_338ee7f35b81_predictions.csv,{'NO_CANDIDATE': 348},legacy_unknown,legacy_unknown,0.7175765427687928,0.9715370018975332,1.0,1.0,1.0,2.407969639468691,0.9292450554317337,0.5754899313650637,0.7001349755557102,0.3987008128645797,0.5736918251722302,595.1367888000095,0.0,2751.90380859375
cora,uniform,heart,dcdlp,A14,5,9f080178d754,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed5_9f080178d754.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed5_9f080178d754_predictions.csv,{'NO_CANDIDATE': 361},legacy_unknown,legacy_unknown,0.7289399036552737,0.969639468690702,1.0,1.0,1.0,2.3757115749525615,0.930450007021233,0.5910227825881583,0.718661865408845,0.43592947850760355,0.5056355621428029,640.5415546000004,0.0,2734.30126953125
cora,uniform,heart,dcdlp,A14,6,4a1664d27a7b,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed6_4a1664d27a7b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed6_4a1664d27a7b_predictions.csv,{'NO_CANDIDATE': 344},legacy_unknown,legacy_unknown,0.7302241304292314,0.9791271347248577,1.0,1.0,1.0,2.301707779886148,0.9356111533185227,0.5944155774300991,0.7297162510690132,0.41534252744536126,0.5602672286521997,594.8155772999744,0.0,2741.1318359375
cora,uniform,heart,dcdlp,A14,7,8a4204a168eb,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed7_8a4204a168eb.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed7_8a4204a168eb_predictions.csv,{'NO_CANDIDATE': 357},legacy_unknown,legacy_unknown,0.7366155542068032,0.9715370018975332,1.0,1.0,1.0,2.366223908918406,0.9317815208350587,0.5973966498825418,0.7285070451374608,0.3943096144679855,0.5936421927609301,640.1988810999901,0.0,2774.3330078125
cora,uniform,heart,dcdlp,A14,8,6b9ef82f3d7a,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed8_6b9ef82f3d7a.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed8_6b9ef82f3d7a_predictions.csv,{'NO_CANDIDATE': 338},legacy_unknown,legacy_unknown,0.7207432245324163,0.969639468690702,1.0,1.0,1.0,2.480075901328273,0.9272648877142827,0.5910522794452407,0.7267335923177165,0.41877368996338293,0.5621500048157334,713.368549900013,0.0,2723.27294921875
cora,uniform,heart,dcdlp,A14,9,ca7907248613,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_uniform_seed9_ca7907248613.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_uniform_seed9_ca7907248613_predictions.csv,{'NO_CANDIDATE': 329},legacy_unknown,legacy_unknown,0.7419822587279892,0.9715370018975332,0.9981024667931688,1.0,1.0,2.3301707779886147,0.9335827371286398,0.5955559195645744,0.7357746336696962,0.46735164012941793,0.4852431702498235,607.6461444000015,0.0,2790.44482421875
smoke,uniform,standard,dcdlp,A14,0,1522611c63c9,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed0_1522611c63c9.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed0_1522611c63c9_predictions.csv,{},legacy_unknown,legacy_unknown,0.12266437266437263,0.3333333333333333,0.8888888888888888,1.0,1.0,10.88888888888889,0.495679012345679,0.04976978179874658,0.12266437266437265,0.07181707181707182,0.1172161172161172,2.615658499998972,0.0,0.0
smoke,uniform,standard,dcdlp,A14,20260717,f8956eb94f2d,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed20260717_f8956eb94f2d.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed20260717_f8956eb94f2d_predictions.csv,{'NO_CANDIDATE': 1},legacy_unknown,legacy_unknown,0.09240758095247258,0.4444444444444444,1.0,1.0,1.0,12.333333333333334,0.4462962962962963,0.04560783091248849,0.08790590357927819,0.058823529411764705,0.04673202614379085,6.102785399998538,0.0,16.94677734375
smoke,uniform,standard,dcdlp,A14,2026,d5f5a7f6b2a6,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed2026_d5f5a7f6b2a6.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed2026_d5f5a7f6b2a6_predictions.csv,{},legacy_unknown,legacy_unknown,0.09782196504332728,0.3333333333333333,0.8888888888888888,1.0,1.0,14.333333333333334,0.34814814814814815,0.0395160476408015,0.09016915245630415,0.06066176470588235,0.04918392795714777,3.396401899997727,0.0,17.0400390625
smoke,uniform,standard,dcdlp,A14,2027,8f7a6f898af9,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\smoke_uniform_seed2027_8f7a6f898af9.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\smoke_uniform_seed2027_8f7a6f898af9_predictions.csv,{},legacy_unknown,legacy_unknown,0.23538359788359786,0.5555555555555556,0.8888888888888888,1.0,1.0,10.11111111111111,0.5425925925925925,0.08835913533275029,0.23348214285714286,0.125,0.30833333333333335,3.0313462000049185,0.0,17.037109375
